,Actual_outcome,prob_0,prob_1
657,0,0.75,0.25
658,0,0.54,0.46
659,0,0.82,0.18
660,0,0.7,0.3
661,0,0.78,0.22
662,0,0.67,0.33
663,1,0.45,0.55
664,0,0.69,0.31
665,0,0.67,0.33
666,0,0.6,0.4
667,0,0.57,0.43
668,1,0.47,0.53
669,0,0.53,0.47
670,0,0.79,0.21
671,1,0.44,0.56
672,1,0.43,0.57
673,0,0.62,0.38
674,1,0.44,0.56
675,0,0.63,0.37
676,1,0.44,0.56
677,1,0.48,0.52
678,0,0.63,0.37
679,0,0.73,0.27
680,0,0.73,0.27
681,0,0.77,0.23
682,0,0.7,0.3
683,1,0.47,0.53
684,0,0.68,0.32
685,0,0.69,0.31
686,0,0.52,0.48
687,0,0.58,0.42
688,0,0.61,0.39
689,0,0.57,0.43
690,0,0.68,0.32
691,0,0.72,0.28
692,1,0.42,0.58
693,0,0.74,0.26
694,1,0.32,0.68
695,0,0.69,0.31
696,0,0.5,0.5
697,0,0.69,0.31
698,0,0.64,0.36
699,0,0.66,0.34
700,0,0.57,0.43
701,0,0.57,0.43
702,0,0.62,0.38
703,0,0.56,0.44
704,0,0.6,0.4
705,1,0.28,0.72
706,0,0.69,0.31
707,0,0.71,0.29
708,0,0.71,0.29
709,0,0.71,0.29
710,0,0.71,0.29
711,0,0.7,0.3
712,0,0.73,0.27
713,0,0.64,0.36
714,1,0.44,0.56
715,0,0.55,0.45
716,1,0.31,0.69
717,1,0.47,0.53
718,0,0.64,0.36
719,0,0.65,0.35
720,0,0.69,0.31
721,0,0.52,0.48
722,0,0.64,0.36
723,0,0.64,0.36
724,0,0.62,0.38
725,0,0.62,0.38
726,1,0.29,0.71
727,0,0.71,0.29
728,0,0.69,0.31
729,0,0.53,0.47
730,0,0.59,0.41
731,0,0.63,0.37
732,0,0.73,0.27
733,0,0.67,0.33
734,0,0.71,0.29
735,0,0.74,0.26
736,0,0.5,0.5
737,0,0.66,0.34
738,0,0.58,0.42
739,0,0.56,0.44
740,1,0.29,0.71
741,0,0.56,0.44
742,0,0.62,0.38
743,0,0.69,0.31
744,0,0.67,0.33
745,0,0.68,0.32
746,0,0.64,0.36
747,0,0.65,0.35
748,1,0.23,0.77
749,0,0.58,0.42
750,0,0.69,0.31
751,0,0.54,0.46
